Eingegangen am;Mangel Nr.;Typ;Status;Geo-Koordinaten
28.03.2019 12:31:46;1237;Parkverstöße;Behoben;49.475,10.9895
28.03.2019 13:14:26;1238;Parkverstöße;Behoben;49.4741,10.9907
28.03.2019 17:01:13;1239;Parkverstöße;Behoben;49.4794,10.9853
28.03.2019 21:17:21;1240;Defekte Ampelanlagen oder Verkehrsschilder;In Bearbeitung;49.5163,10.9755
29.03.2019 11:02:05;1241;Parkverstöße;Behoben;49.4778,10.9881
29.03.2019 14:46:00;1242;Sonstige Mängel;In Bearbeitung;49.4773,10.9829
29.03.2019 14:48:04;1243;Sonstige Mängel;Behoben;49.4779,10.9819
29.03.2019 15:04:40;1244;Parkverstöße;In Bearbeitung;49.4932,10.9987
30.03.2019 12:20:39;1245;Illegale Müllablagerung, Ansammlung von Unrat;Behoben;49.4781,10.9888
30.03.2019 12:21:55;1246;Illegale Müllablagerung, Ansammlung von Unrat;Behoben;49.4781,10.989
30.03.2019 13:02:58;1247;Sonstige Mängel;Abgelehnt;49.4929,10.9092
30.03.2019 16:49:28;1248;Mülltonnen nicht geleert oder verschwunden;Abgelehnt;49.4798,11.0012
31.03.2019 00:22:48;1249;Illegale Müllablagerung, Ansammlung von Unrat;Behoben;49.4812,10.9847
31.03.2019 12:55:21;1250;Störungen Grillplatz;In Bearbeitung;49.4736,10.982
31.03.2019 13:42:07;1251;Parkverstöße;Behoben;49.4728,10.9834
31.03.2019 14:44:10;1252;Mülltonnen nicht geleert oder verschwunden;Abgelehnt;49.4987,10.9811
31.03.2019 17:40:19;1253;Störungen Grillplatz;In Bearbeitung;49.4736,10.982
31.03.2019 17:43:44;1254;Parkverstöße;Behoben;49.4736,10.982
31.03.2019 17:58:53;1255;Illegale Müllablagerung, Ansammlung von Unrat;Behoben;49.4798,10.9873
01.04.2019 07:29:46;1256;Parkverstöße;Behoben;49.4666,10.992
01.04.2019 18:36:35;1257;Parkverstöße;Behoben;49.4649,10.999
01.04.2019 21:14:17;1258;Parkverstöße;Behoben;49.465,10.9994
01.04.2019 22:27:13;1259;Defekte Straßenbeleuchtung;Behoben;49.4667,10.9535
01.04.2019 23:48:11;1260;Straßen- und Gehwegverunreinigung;In Bearbeitung;49.4731,10.9456
02.04.2019 08:51:24;1261;Illegale Müllablagerung, Ansammlung von Unrat;Behoben;49.4743,10.9918
02.04.2019 18:00:46;1262;Sonstige Mängel;Behoben;49.4742,10.9808
02.04.2019 20:17:18;1263;Parkverstöße;Behoben;49.4683,10.9939
02.04.2019 20:58:37;1264;Defekte Straßenbeleuchtung;Behoben;49.4629,10.9662
03.04.2019 10:51:54;1265;Parkverstöße;Behoben;49.4549,10.9754
03.04.2019 14:02:17;1266;Illegale Müllablagerung, Ansammlung von Unrat;Behoben;49.4632,10.9945
03.04.2019 17:26:40;1267;Defekte Straßenbeleuchtung;Behoben;49.5055,10.9738
03.04.2019 17:33:00;1268;Straßenschäden;In Bearbeitung;49.5066,10.9559
03.04.2019 18:18:30;1269;Parkverstöße;Behoben;49.4651,10.9996
03.04.2019 18:47:43;1270;Parkverstöße;Abgelehnt;49.4794,10.985
03.04.2019 19:27:07;1271;Parkverstöße;Behoben;49.4795,10.9846
03.04.2019 19:47:27;1272;Parkverstöße;Behoben;49.4703,11.0045
03.04.2019 21:20:14;1273;Parkverstöße;Behoben;49.4795,11.0014
04.04.2019 19:42:55;1274;Parkverstöße;Abgelehnt;49.4651,10.9996
05.04.2019 07:21:06;1275;Parkverstöße;Behoben;49.4872,10.9764
05.04.2019 14:58:30;1276;Abgestellte Autos ohne Kennzeichen;Behoben;49.4571,11.0071
05.04.2019 15:01:31;1277;Abgestellte Autos ohne Kennzeichen;Behoben;49.4571,11.0068
05.04.2019 15:39:35;1278;Parkverstöße;Behoben;49.4796,11.0015
05.04.2019 17:20:25;1279;Parkverstöße;Behoben;49.4665,11.0008
05.04.2019 18:02:48;1280;Parkverstöße;Behoben;49.4639,10.9979
06.04.2019 12:04:37;1281;Illegale Müllablagerung, Ansammlung von Unrat;Behoben;49.4808,10.9558
06.04.2019 13:50:05;1282;Störungen Grillplatz;In Bearbeitung;49.4725,10.9807
06.04.2019 15:57:54;1283;Sonstige Mängel;In Bearbeitung;49.4659,10.9557
06.04.2019 20:34:35;1284;Parkverstöße;Behoben;49.4993,10.9688
07.04.2019 12:30:35;1285;Parkverstöße;Behoben;49.4803,10.982
07.04.2019 14:26:23;1286;Parkverstöße;Behoben;49.4671,10.9876
07.04.2019 17:08:53;1287;Sonstige Mängel;In Bearbeitung;49.4902,10.9491
07.04.2019 17:17:37;1288;Sonstige Mängel;In Bearbeitung;49.4803,10.9947
07.04.2019 18:32:18;1289;Parkverstöße;Behoben;49.4736,10.982
07.04.2019 18:38:38;1290;Parkverstöße;Abgelehnt;49.4736,10.982
07.04.2019 21:55:05;1291;Illegale Müllablagerung, Ansammlung von Unrat;Behoben;49.4763,10.9808
07.04.2019 21:56:50;1292;Illegale Müllablagerung, Ansammlung von Unrat;Behoben;49.4596,10.9915
08.04.2019 07:52:32;1293;Illegale Müllablagerung, Ansammlung von Unrat;Behoben;49.48,10.9847
08.04.2019 18:21:27;1294;Illegale Müllablagerung, Ansammlung von Unrat;Behoben;49.48,11.0071
08.04.2019 21:18:07;1295;Defekte Straßenbeleuchtung;Behoben;49.461,10.9605
09.04.2019 07:48:51;1296;Parkverstöße;Behoben;49.4641,11.0024
09.04.2019 09:48:31;1297;Defekte Ampelanlagen oder Verkehrsschilder;Behoben;49.4771,10.9907
09.04.2019 10:04:17;1298;Sonstige Mängel;Behoben;49.4766,10.9798
09.04.2019 17:08:11;1299;Abgestellte Autos ohne Kennzeichen;Behoben;49.467,11.0103
10.04.2019 04:55:06;1300;Sonstige Mängel;Abgelehnt;49.4811,10.9557
10.04.2019 11:28:40;1301;Illegale Müllablagerung, Ansammlung von Unrat;Behoben;49.478,10.9887
10.04.2019 13:31:10;1302;Illegale Müllablagerung, Ansammlung von Unrat;Behoben;49.4782,10.9889
10.04.2019 16:10:37;1303;Illegale Müllablagerung, Ansammlung von Unrat;Behoben;49.4787,10.9817
10.04.2019 17:03:15;1304;Illegale Müllablagerung, Ansammlung von Unrat;Behoben;49.4783,10.9889
10.04.2019 20:09:51;1305;Defekte Ampelanlagen oder Verkehrsschilder;In Bearbeitung;49.4675,11.0093
