Eingegangen am;Mangel Nr.;Typ;Status
05.03.2018 18:13:57;166;Illegale Müllablagerung, Ansammlung von Unrat;In Bearbeitung
06.03.2018 07:57:19;167;Abgestellte Autos ohne Kennzeichen;In Bearbeitung
06.03.2018 12:00:37;168;Straßenschäden;Behoben
07.03.2018 11:52:51;169;Abgestellte Autos ohne Kennzeichen;Behoben
07.03.2018 16:00:59;170;Parkverstöße;Behoben
08.03.2018 10:47:23;171;Defekte Straßenbeleuchtung;Behoben
08.03.2018 19:00:48;172;Straßenschäden;Abgelehnt
09.03.2018 08:25:28;173;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
09.03.2018 16:00:02;174;Parkverstöße;Behoben
09.03.2018 22:05:27;175;Defekte Straßenbeleuchtung;Behoben
10.03.2018 11:08:54;176;Sonstige Mängel;Behoben
10.03.2018 11:18:57;177;Parkverstöße;Behoben
10.03.2018 11:54:49;178;Parkverstöße;Behoben
11.03.2018 17:50:07;179;Defekte Straßenbeleuchtung;Behoben
12.03.2018 10:11:00;180;Defekte Straßenbeleuchtung;Behoben
12.03.2018 14:04:37;181;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
12.03.2018 16:41:03;182;Parkverstöße;Behoben
12.03.2018 17:18:08;183;Straßenschäden;Behoben
15.03.2018 05:49:31;184;Defekte Straßenbeleuchtung;Behoben
15.03.2018 20:03:37;185;Defekte Straßenbeleuchtung;Behoben
16.03.2018 09:21:18;186;Abgestellte Autos ohne Kennzeichen;Behoben
17.03.2018 14:38:15;187;Straßen- und Gehwegverunreinigung;Behoben
19.03.2018 08:39:54;188;Parkverstöße;Behoben
19.03.2018 13:15:11;189;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
19.03.2018 18:50:23;190;Parkverstöße;Behoben
20.03.2018 21:16:59;191;Sonstige Mängel;In Bearbeitung
21.03.2018 08:45:24;192;Gehweg nicht von Schnee und Eis befreit;Abgelehnt
22.03.2018 10:22:49;193;Parkverstöße;Behoben
23.03.2018 09:34:57;194;Störungen in Grünanlagen und Landschaftsschutzgebieten;Behoben
23.03.2018 09:36:58;195;Probleme mit Tieren (zum Beispiel Wespen, Hornissen, Hunde);Behoben
23.03.2018 11:00:39;196;Parkverstöße;Behoben
23.03.2018 13:20:56;197;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
23.03.2018 18:40:33;198;Sonstige Mängel;Behoben
24.03.2018 13:51:44;199;Störungen in Grünanlagen und Landschaftsschutzgebieten;Abgelehnt
25.03.2018 21:05:55;200;Abgestellte Autos ohne Kennzeichen;Behoben
25.03.2018 21:31:12;201;Illegale Müllablagerung, Ansammlung von Unrat;Abgelehnt
26.03.2018 18:26:29;202;Parkverstöße;Behoben
26.03.2018 19:12:20;203;Mülltonnen nicht geleert oder verschwunden;Behoben
27.03.2018 09:03:37;204;Parkverstöße;Behoben
27.03.2018 11:26:18;205;Parkverstöße;Behoben
27.03.2018 14:48:19;206;Probleme mit Tieren (zum Beispiel Wespen, Hornissen, Hunde);Behoben
27.03.2018 14:51:07;207;Probleme mit Tieren (zum Beispiel Wespen, Hornissen, Hunde);Behoben
27.03.2018 19:21:39;208;Parkverstöße;Behoben
27.03.2018 19:26:07;209;Parkverstöße;Behoben
27.03.2018 19:30:00;210;Parkverstöße;Behoben
28.03.2018 10:31:22;211;Sonstige Mängel;Behoben
29.03.2018 15:51:28;212;Sonstige Mängel;Behoben
29.03.2018 16:18:53;213;Sonstige Mängel;In Bearbeitung
29.03.2018 18:18:57;214;Störungen in Grünanlagen und Landschaftsschutzgebieten;Behoben
30.03.2018 22:25:00;215;Probleme mit Tieren (zum Beispiel Wespen, Hornissen, Hunde);Behoben
01.04.2018 14:24:35;216;Mülltonnen nicht geleert oder verschwunden;Behoben
02.04.2018 09:32:39;217;Sonstige Mängel;Behoben
02.04.2018 10:06:08;218;Probleme mit Tieren (zum Beispiel Wespen, Hornissen, Hunde);Behoben
02.04.2018 13:09:49;219;Defekte Straßenbeleuchtung;Behoben
02.04.2018 19:37:46;220;Parkverstöße;Behoben
02.04.2018 20:10:07;221;Mülltonnen nicht geleert oder verschwunden;Behoben
03.04.2018 11:07:29;222;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
03.04.2018 11:08:53;223;Illegale Müllablagerung, Ansammlung von Unrat;Abgelehnt
03.04.2018 11:09:58;224;Illegale Müllablagerung, Ansammlung von Unrat;Abgelehnt
03.04.2018 16:03:37;225;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
03.04.2018 17:15:18;226;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
03.04.2018 17:38:55;227;Mülltonnen nicht geleert oder verschwunden;Behoben
03.04.2018 18:44:37;228;Parkverstöße;Behoben
03.04.2018 20:33:42;229;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
05.04.2018 20:26:44;230;Straßen- und Gehwegverunreinigung;Behoben
06.04.2018 07:25:14;231;Parkverstöße;Behoben
06.04.2018 09:03:26;232;Parkverstöße;Behoben
06.04.2018 17:28:01;233;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
07.04.2018 17:13:26;234;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
07.04.2018 23:02:49;235;Abgestellte Autos ohne Kennzeichen;Abgelehnt
08.04.2018 14:44:19;236;Sonstige Mängel;Behoben
08.04.2018 14:58:06;237;Straßenschäden;Abgelehnt
08.04.2018 17:29:59;238;Parkverstöße;Behoben
09.04.2018 18:36:03;239;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
10.04.2018 09:13:32;240;Parkverstöße;Behoben
10.04.2018 10:45:20;241;Straßenschäden;Behoben
10.04.2018 21:50:25;242;Defekte Straßenbeleuchtung;Behoben
11.04.2018 08:13:18;243;Sonstige Mängel;Behoben
11.04.2018 19:55:55;244;Probleme mit Tieren (zum Beispiel Wespen, Hornissen, Hunde);Behoben
12.04.2018 07:48:37;245;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
12.04.2018 14:16:11;246;Parkverstöße;Behoben
12.04.2018 14:27:47;247;Parkverstöße;Behoben
12.04.2018 14:31:57;248;Parkverstöße;Behoben
12.04.2018 23:22:34;249;Defekte Straßenbeleuchtung;Behoben
13.04.2018 09:18:46;250;Probleme mit Tieren (zum Beispiel Wespen, Hornissen, Hunde);Behoben
13.04.2018 19:22:45;251;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
13.04.2018 21:09:46;252;Defekte Straßenbeleuchtung;Behoben
14.04.2018 08:22:13;253;Parkverstöße;Behoben
14.04.2018 10:32:43;254;Defekte Straßenbeleuchtung;Abgelehnt
14.04.2018 12:11:52;255;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
14.04.2018 15:29:50;256;Sonstige Mängel;Behoben
15.04.2018 11:37:09;257;Sonstige Mängel;Behoben
15.04.2018 11:41:43;258;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
16.04.2018 09:28:37;259;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
16.04.2018 09:51:39;260;Defekte Straßenbeleuchtung;Behoben
16.04.2018 10:21:04;261;Parkverstöße;Behoben
16.04.2018 14:08:46;262;Parkverstöße;Behoben
16.04.2018 14:37:07;263;Parkverstöße;Behoben
17.04.2018 10:02:40;264;Parkverstöße;Behoben
17.04.2018 10:06:17;265;Sonstige Mängel;Behoben
17.04.2018 14:14:33;266;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
18.04.2018 11:05:54;267;Parkverstöße;Behoben
18.04.2018 13:16:37;268;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
20.04.2018 15:52:15;269;Parkverstöße;Behoben
20.04.2018 17:40:42;270;Sonstige Mängel;Behoben
20.04.2018 18:09:08;271;Störungen in Grünanlagen und Landschaftsschutzgebieten;Behoben
23.04.2018 06:13:36;272;Störungen in Grünanlagen und Landschaftsschutzgebieten;Abgelehnt
23.04.2018 10:48:20;273;Parkverstöße;Behoben
23.04.2018 10:55:42;274;Parkverstöße;Behoben
24.04.2018 14:33:04;275;Parkverstöße;Behoben
24.04.2018 20:41:34;276;Parkverstöße;Behoben
25.04.2018 10:21:55;277;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
25.04.2018 17:40:56;278;Sonstige Mängel;Behoben
25.04.2018 19:26:12;279;Parkverstöße;Behoben
26.04.2018 12:07:09;280;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
26.04.2018 17:10:19;281;Parkverstöße;Behoben
26.04.2018 21:02:34;282;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
27.04.2018 09:05:25;283;Sonstige Mängel;Abgelehnt
28.04.2018 10:51:26;284;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
29.04.2018 12:27:31;285;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
29.04.2018 14:44:48;286;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
29.04.2018 16:18:15;287;Störungen in Grünanlagen und Landschaftsschutzgebieten;Behoben
29.04.2018 19:25:39;288;Defekte Straßenbeleuchtung;Behoben
30.04.2018 09:47:11;289;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
30.04.2018 13:15:35;290;Parkverstöße;Behoben
30.04.2018 13:38:18;291;Parkverstöße;Behoben
01.05.2018 10:02:21;292;Sonstige Mängel;Abgelehnt
01.05.2018 15:08:36;293;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
01.05.2018 15:46:12;294;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
02.05.2018 07:25:49;295;Sonstige Mängel;Abgelehnt
03.05.2018 12:20:30;296;Sonstige Mängel;Behoben
03.05.2018 12:22:37;297;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
03.05.2018 13:20:18;298;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
03.05.2018 15:35:17;299;Sonstige Mängel;Behoben
05.05.2018 17:28:26;300;Straßenschäden;Behoben
05.05.2018 17:28:56;301;Straßenschäden;Abgelehnt
08.05.2018 22:34:09;302;Defekte Straßenbeleuchtung;Behoben
09.05.2018 20:29:16;303;Sonstige Mängel;Behoben
09.05.2018 22:32:26;304;Defekte Straßenbeleuchtung;Behoben
11.05.2018 08:26:53;305;Straßenschäden;Abgelehnt
11.05.2018 22:20:26;306;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
12.05.2018 20:05:58;307;Parkverstöße;Behoben
12.05.2018 20:11:52;308;Parkverstöße;Behoben
13.05.2018 17:17:12;309;Defekte Straßenbeleuchtung;Behoben
13.05.2018 17:31:56;310;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
13.05.2018 22:44:08;311;Mülltonnen nicht geleert oder verschwunden;Abgelehnt
14.05.2018 11:35:00;312;Parkverstöße;Behoben
14.05.2018 11:55:27;313;Parkverstöße;Behoben
14.05.2018 12:13:34;314;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
14.05.2018 12:52:47;315;Sonstige Mängel;Behoben
14.05.2018 13:31:07;316;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
14.05.2018 16:38:46;317;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
15.05.2018 06:09:43;318;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
15.05.2018 08:54:01;319;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
15.05.2018 08:54:24;320;Straßen- und Gehwegverunreinigung;Abgelehnt
15.05.2018 11:23:22;321;Abgestellte Autos ohne Kennzeichen;Behoben
15.05.2018 11:30:41;322;Parkverstöße;Behoben
15.05.2018 12:55:30;323;Parkverstöße;Abgelehnt
16.05.2018 16:26:32;324;Parkverstöße;Behoben
16.05.2018 17:17:49;325;Sonstige Mängel;Behoben
17.05.2018 18:52:58;326;Sonstige Mängel;Behoben
